[13-01-23 14:41:02.835] LOG  : General     , 1673642462835> cachedir set to "C:\Users\alpha\Zomboid".
[13-01-23 14:41:02.838] LOG  : General     , 1673642462838> 13-01-2023 14:41:02.
[13-01-23 14:41:02.839] LOG  : General     , 1673642462839> cachedir is "C:\Users\alpha\Zomboid".
[13-01-23 14:41:02.839] LOG  : General     , 1673642462839> LogFileDir is "C:\Users\alpha\Zomboid\Logs".
[13-01-23 14:41:02.839] LOG  : General     , 1673642462839> ===== System specs =====.
[13-01-23 14:41:02.840] LOG  : General     , 1673642462840> OS: Windows 10, version: 10.0, arch: amd64.
[13-01-23 14:41:02.841] LOG  : General     , 1673642462841> Processor: AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD.
[13-01-23 14:41:02.841] LOG  : General     , 1673642462841> Processor cores: 16.
[13-01-23 14:41:02.842] LOG  : General     , 1673642462842> Available processors (cores): 16.
[13-01-23 14:41:02.843] LOG  : General     , 1673642462843> Memory free: 491.49457 MB.
[13-01-23 14:41:02.844] LOG  : General     , 1673642462843> Memory max: 3072.0 MB.
[13-01-23 14:41:02.844] LOG  : General     , 1673642462844> Memory  total available to JVM: 512.0 MB.
[13-01-23 14:41:02.847] LOG  : General     , 1673642462847> C:\, Total: 930.8828 GB, Free: 249.36603 GB.
[13-01-23 14:41:02.847] LOG  : General     , 1673642462847> D:\, Total: 29.860352 GB, Free: 29.858887 GB.
[13-01-23 14:41:02.847] LOG  : General     , 1673642462847> F:\, Total: 465.74512 GB, Free: 189.12903 GB.
[13-01-23 14:41:02.848] LOG  : General     , 1673642462848> G:\, Total: 931.4961 GB, Free: 241.34494 GB.
[13-01-23 14:41:02.938] LOG  : General     , 1673642462938> Mobo = [Product=MPG X570 GAMING EDGE WIFI (MS-7C37)].
[13-01-23 14:41:03.029] LOG  : General     , 1673642463029> CPU = [Manufacturer=AuthenticAMD,MaxClockSpeed=3801,Name=AMD Ryzen 7 5800X 8-Core Processor].
[13-01-23 14:41:03.124] LOG  : General     , 1673642463124> Graphics = [AdapterRAM=4293918720,DriverVersion=31.0.15.2802,Name=NVIDIA GeForce RTX 3080].
[13-01-23 14:41:03.219] LOG  : General     , 1673642463219> VideoMode = [VideoModeDescription=1920 x 1080 x 4294967296 colors].
[13-01-23 14:41:03.316] LOG  : General     , 1673642463316> Sound = { [Manufacturer=(Generic USB Audio),Name=USB Audio Device], [Manufacturer=Microsoft,Name=High Definition Audio Device], [Manufacturer=Nahimic,Name=Nahimic mirroring device], [Manufacturer=NVIDIA,Name=NVIDIA Virtual Audio Device (Wave Extensible) (WDM)], [Manufacturer=(Generic USB Audio),Name=USB Audio Device], [Manufacturer=(Generic USB Audio),Name=USB Audio Device], [Manufacturer=NVIDIA,Name=NVIDIA High Definition Audio], [Manufacturer=Oculus,Name=Oculus Virtual Audio Device], [Manufacturer=Voicemod S.L.,Name=Voicemod Virtual Audio Device (WDM)], [Manufacturer=SteelSeries ApS,Name=SteelSeries Sonar Virtual Audio Device] }.
[13-01-23 14:41:03.404] LOG  : General     , 1673642463404> Memory RAM = { [Capacity=8589934592,Manufacturer=Unknown], [Capacity=8589934592,Manufacturer=Unknown], [Capacity=8589934592,Manufacturer=Unknown], [Capacity=8589934592,Manufacturer=Unknown] }.
[13-01-23 14:41:03.405] LOG  : General     , 1673642463405> ========================.
[13-01-23 14:41:03.405] LOG  : General     , 1673642463405> -- listing properties --.
[13-01-23 14:41:03.405] LOG  : General     , 1673642463405> java.specification.version=17.
[13-01-23 14:41:03.405] LOG  : General     , 1673642463405> sun.cpu.isalist=amd64.
[13-01-23 14:41:03.406] LOG  : General     , 1673642463405> sun.jnu.encoding=Cp1252.
[13-01-23 14:41:03.406] LOG  : General     , 1673642463406> java.class.path=.;commons-compress-1.18.jar;istack-co....
[13-01-23 14:41:03.406] LOG  : General     , 1673642463406> java.vm.vendor=Azul Systems, Inc..
[13-01-23 14:41:03.406] LOG  : General     , 1673642463406> sun.arch.data.model=64.
[13-01-23 14:41:03.406] LOG  : General     , 1673642463406> user.variant=.
[13-01-23 14:41:03.406] LOG  : General     , 1673642463406> java.vendor.url=http://www.azul.com/.
[13-01-23 14:41:03.407] LOG  : General     , 1673642463407> user.timezone=America/Chicago.
[13-01-23 14:41:03.407] LOG  : General     , 1673642463407> zomboid.steam=1.
[13-01-23 14:41:03.407] LOG  : General     , 1673642463407> java.vm.specification.version=17.
[13-01-23 14:41:03.407] LOG  : General     , 1673642463407> os.name=Windows 10.
[13-01-23 14:41:03.407] LOG  : General     , 1673642463407> user.country=US.
[13-01-23 14:41:03.408] LOG  : General     , 1673642463408> sun.boot.library.path=G:\SteamLibrary\steamapps\common\Proj....
[13-01-23 14:41:03.408] LOG  : General     , 1673642463408> zomboid.znetlog=1.
[13-01-23 14:41:03.408] LOG  : General     , 1673642463408> jdk.debug=release.
[13-01-23 14:41:03.408] LOG  : General     , 1673642463408> sun.cpu.endian=little.
[13-01-23 14:41:03.408] LOG  : General     , 1673642463408> user.home=C:\Users\alpha.
[13-01-23 14:41:03.409] LOG  : General     , 1673642463409> user.language=en.
[13-01-23 14:41:03.409] LOG  : General     , 1673642463409> java.specification.vendor=Oracle Corporation.
[13-01-23 14:41:03.409] LOG  : General     , 1673642463409> java.version.date=2021-10-19.
[13-01-23 14:41:03.409] LOG  : General     , 1673642463409> java.home=G:\SteamLibrary\steamapps\common\Proj....
[13-01-23 14:41:03.409] LOG  : General     , 1673642463409> file.separator=\.
[13-01-23 14:41:03.409] LOG  : General     , 1673642463409> java.vm.compressedOopsMode=Zero based.
[13-01-23 14:41:03.410] LOG  : General     , 1673642463410> line.separator=.
[13-01-23 14:41:03.410] LOG  : General     , 1673642463410> java.vm.specification.vendor=Oracle Corporation.
[13-01-23 14:41:03.410] LOG  : General     , 1673642463410> java.specification.name=Java Platform API Specification.
[13-01-23 14:41:03.410] LOG  : General     , 1673642463410> java.awt.headless=true.
[13-01-23 14:41:03.410] LOG  : General     , 1673642463410> user.script=.
[13-01-23 14:41:03.411] LOG  : General     , 1673642463411> sun.management.compiler=HotSpot 64-Bit Tiered Compilers.
[13-01-23 14:41:03.411] LOG  : General     , 1673642463411> java.runtime.version=17.0.1+12-LTS.
[13-01-23 14:41:03.411] LOG  : General     , 1673642463411> user.name=alpha.
[13-01-23 14:41:03.411] LOG  : General     , 1673642463411> path.separator=;.
[13-01-23 14:41:03.411] LOG  : General     , 1673642463411> os.version=10.0.
[13-01-23 14:41:03.411] LOG  : General     , 1673642463411> java.runtime.name=OpenJDK Runtime Environment.
[13-01-23 14:41:03.411] LOG  : General     , 1673642463411> file.encoding=Cp1252.
[13-01-23 14:41:03.412] LOG  : General     , 1673642463412> java.vm.name=OpenJDK 64-Bit Server VM.
[13-01-23 14:41:03.412] LOG  : General     , 1673642463412> java.vendor.version=Zulu17.30+15-CA.
[13-01-23 14:41:03.412] LOG  : General     , 1673642463412> java.vendor.url.bug=http://www.azul.com/support/.
[13-01-23 14:41:03.412] LOG  : General     , 1673642463412> java.io.tmpdir=C:\Users\alpha\AppData\Local\Temp\.
[13-01-23 14:41:03.412] LOG  : General     , 1673642463412> java.version=17.0.1.
[13-01-23 14:41:03.412] LOG  : General     , 1673642463412> user.dir=G:\SteamLibrary\steamapps\common\Proj....
[13-01-23 14:41:03.413] LOG  : General     , 1673642463413> os.arch=amd64.
[13-01-23 14:41:03.413] LOG  : General     , 1673642463413> java.vm.specification.name=Java Virtual Machine Specification.
[13-01-23 14:41:03.413] LOG  : General     , 1673642463413> sun.os.patch.level=.
